dataset,method,num_clusters,sampling,pca,tp,fp,fn,tn,time
var2,kmeans++,10,under,,1661,543,897,1311,0.13851332664489746
var2,kmeans++,30,under,,1740,437,1015,1220,0.16607046127319336
var2,kmeans,5,,5.0,197716,0,2284,0,0.5388579368591309
var2,kmeans,10,,5.0,197716,0,2284,0,0.7078738212585449
var2,kmeans,30,,5.0,197716,0,2284,0,1.7465789318084717
var2,kmeans++,5,,5.0,197716,0,2284,0,0.4884335994720459
var2,kmeans++,10,,5.0,197716,0,2284,0,0.673264741897583
var2,kmeans++,30,,5.0,197716,0,2284,0,2.2619051933288574
var2,kmeans,5,,15.0,197716,0,2284,0,0.648465633392334
var2,kmeans,10,,15.0,197716,0,2284,0,0.8392624855041504
var2,kmeans,30,,15.0,197716,0,2284,0,3.0968945026397705
var2,kmeans++,5,,15.0,197716,0,2284,0,0.6120164394378662
var2,kmeans++,10,,15.0,197716,0,2284,0,0.940032958984375
var2,kmeans++,30,,15.0,197716,0,2284,0,2.1091065406799316
var2,kmeans,5,,,197716,0,2284,0,0.9184374809265137
var2,kmeans,10,,,197716,0,2284,0,1.9329535961151123
var2,kmeans,30,,,197716,0,2284,0,2.4978220462799072
var2,kmeans++,5,,,197716,0,2284,0,0.8566262722015381
var2,kmeans++,10,,,197716,0,2284,0,1.5843689441680908
var2,kmeans++,30,,,197716,0,2284,0,2.675849676132202
var3,kmeans,5,smote,5.0,157279,40381,101882,96046,1.1472182273864746
var3,kmeans,10,smote,5.0,152239,45421,89450,108478,1.6532773971557617
var3,kmeans,30,smote,5.0,130516,67144,64377,133551,3.3335015773773193
var3,kmeans++,5,smote,5.0,134383,63277,84301,113627,1.3260204792022705
var3,kmeans++,10,smote,5.0,152043,45617,88281,109647,1.604673147201538
var3,kmeans++,30,smote,5.0,132794,64866,68050,129878,4.044755458831787
var3,kmeans,5,smote,15.0,159187,38473,60487,137441,2.53792405128479
var3,kmeans,10,smote,15.0,149011,48649,38729,159199,3.082700252532959
var3,kmeans,30,smote,15.0,150215,47445,35758,162170,5.038786888122559
var3,kmeans++,5,smote,15.0,138582,59078,45229,152699,2.5529937744140625
var3,kmeans++,10,smote,15.0,150768,46892,39216,158712,3.0788865089416504
var3,kmeans++,30,smote,15.0,150091,47569,40325,157603,5.892287015914917
var3,kmeans,5,smote,,164167,33493,46920,151008,3.0853538513183594
var3,kmeans,10,smote,,151292,46368,37190,160738,5.204890251159668
var3,kmeans,30,smote,,150226,47434,37965,159963,8.857952117919922
var3,kmeans++,5,smote,,160955,36705,57945,139983,3.0330936908721924
var3,kmeans++,10,smote,,149878,47782,35712,162216,5.104504346847534
var3,kmeans++,30,smote,,155164,42496,43584,154344,7.244800329208374
var3,kmeans,5,ros,5.0,131885,65775,82950,114978,1.1824321746826172
var3,kmeans,10,ros,5.0,146422,51238,86678,111250,1.5408716201782227
var3,kmeans,30,ros,5.0,133860,63800,67367,130561,3.677199602127075
var3,kmeans++,5,ros,5.0,155407,42253,93493,104435,1.178069829940796
var3,kmeans++,10,ros,5.0,128023,69637,69600,128328,1.4445250034332275
var3,kmeans++,30,ros,5.0,134899,62761,68459,129469,3.7083590030670166
var3,kmeans,5,ros,15.0,163683,33977,71670,126258,1.6288487911224365
var3,kmeans,10,ros,15.0,150216,47444,40088,157840,2.2078957557678223
var3,kmeans,30,ros,15.0,154471,43189,47452,150476,4.054778099060059
var3,kmeans++,5,ros,15.0,140472,57188,45433,152495,1.8838672637939453
var3,kmeans++,10,ros,15.0,152096,45564,38164,159764,2.3557770252227783
var3,kmeans++,30,ros,15.0,152069,45591,40591,157337,4.228452682495117
var3,kmeans,5,ros,,160013,37647,62285,135643,2.8228814601898193
var3,kmeans,10,ros,,164527,33133,59577,138351,3.108985424041748
var3,kmeans,30,ros,,149262,48398,41821,156107,6.985464572906494
var3,kmeans++,5,ros,,141403,56257,47471,150457,2.4630064964294434
var3,kmeans++,10,ros,,152924,44736,38457,159471,3.614572048187256
var3,kmeans++,30,ros,,143967,53693,37211,160717,4.839440584182739
var3,kmeans,5,under,5.0,1707,469,1003,1233,0.24604463577270508
var3,kmeans,10,under,5.0,1717,520,973,1202,0.23699545860290527
var3,kmeans,30,under,5.0,1566,604,875,1367,0.26401305198669434
var3,kmeans++,5,under,5.0,1758,473,1035,1146,0.226959228515625
var3,kmeans++,10,under,5.0,1728,505,990,1189,0.23261666297912598
var3,kmeans++,30,under,5.0,1450,701,764,1497,0.2664825916290283
var3,kmeans,5,under,15.0,1781,422,729,1480,0.2823371887207031
var3,kmeans,10,under,15.0,1896,312,727,1477,0.2682228088378906
var3,kmeans,30,under,15.0,1643,545,405,1819,0.3286428451538086
var3,kmeans++,5,under,15.0,1922,303,915,1272,0.2610783576965332
var3,kmeans++,10,under,15.0,1705,528,405,1774,0.2730443477630615
var3,kmeans++,30,under,15.0,1660,503,459,1790,0.2930638790130615
var3,kmeans,5,under,,1552,610,506,1744,0.1375899314880371
var3,kmeans,10,under,,1692,505,470,1745,0.1470491886138916
var3,kmeans,30,under,,1683,515,507,1707,0.17981314659118652
var3,kmeans++,5,under,,1564,582,528,1738,0.12672758102416992
var3,kmeans++,10,under,,1666,497,463,1786,0.15400433540344238
var3,kmeans++,30,under,,1639,533,474,1766,0.18712735176086426
var3,kmeans,5,,5.0,197788,0,2212,0,0.5641422271728516
var3,kmeans,10,,5.0,197788,0,2212,0,0.6761565208435059
var3,kmeans,30,,5.0,197788,0,2212,0,1.7137229442596436
var3,kmeans++,5,,5.0,197788,0,2212,0,0.5944535732269287
var3,kmeans++,10,,5.0,197788,0,2212,0,0.8266804218292236
var3,kmeans++,30,,5.0,197788,0,2212,0,1.435232162475586
var3,kmeans,5,,15.0,197788,0,2212,0,0.6684384346008301
var3,kmeans,10,,15.0,197788,0,2212,0,1.1550803184509277
var3,kmeans,30,,15.0,197788,0,2212,0,2.786557912826538
var3,kmeans++,5,,15.0,197788,0,2212,0,0.7524349689483643
var3,kmeans++,10,,15.0,197788,0,2212,0,0.9018979072570801
var3,kmeans++,30,,15.0,197788,0,2212,0,4.270925760269165
var3,kmeans,5,,,197788,0,2212,0,1.0965533256530762
var3,kmeans,10,,,197788,0,2212,0,2.2184667587280273
var3,kmeans,30,,,197788,0,2212,0,2.375761032104492
var3,kmeans++,5,,,197788,0,2212,0,1.406054973602295
var3,kmeans++,10,,,197788,0,2212,0,1.431034803390503
var3,kmeans++,30,,,197788,0,2212,0,2.9252429008483887
